No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1,2016,1,1,1,211,248,66,119,5400,16,-3.5,1023.8,-7.3,0,NE,1,Aotizhongxin
2,2016,1,1,2,167,192,64,115,4300,12,-4.7,1023.7,-7.3,0,ENE,0.8,Aotizhongxin
3,2016,1,1,3,136,159,56,111,4100,9,-3.6,1023.1,-7.7,0,ENE,1.5,Aotizhongxin
4,2016,1,1,4,108,121,46,107,3600,7,-5.1,1022.3,-7.7,0,E,1,Aotizhongxin
5,2016,1,1,5,93,108,42,107,3400,7,-5.7,1021.7,-8.3,0,ENE,1.2,Aotizhongxin
6,2016,1,1,6,107,126,36,108,4000,7,-6.3,1021.1,-8.4,0,ENE,0.7,Aotizhongxin
7,2016,1,1,7,113,126,29,97,3700,7,-6.8,1021.1,-8.6,0,E,0.7,Aotizhongxin
8,2016,1,1,8,89,94,26,85,2300,7,-6.8,1021.2,-8.8,0,ENE,0.9,Aotizhongxin
9,2016,1,1,9,91,116,22,84,2800,6,-3.6,1021.5,-8.3,0,E,1.2,Aotizhongxin
10,2016,1,1,10,107,130,29,88,3200,8,-2.1,1021.1,-8,0,ENE,1.4,Aotizhongxin
11,2016,1,1,11,108,129,38,91,2800,11,-0.2,1020.6,-7.9,0,ENE,1.2,Aotizhongxin
12,2016,1,1,12,123,147,48,100,3000,14,1.3,1019.2,-7.7,0,ESE,0.8,Aotizhongxin
13,2016,1,1,13,130,145,55,103,2800,17,2.8,1017.7,-7.7,0,SW,1,Aotizhongxin
14,2016,1,1,14,149,166,56,118,2900,18,4.3,1016.7,-7.2,0,SE,0.5,Aotizhongxin
15,2016,1,1,15,168,188,60,135,3000,16,4.2,1016.7,-7,0,E,1.1,Aotizhongxin
16,2016,1,1,16,177,197,55,147,3300,12,3.9,1016.4,-7,0,E,1,Aotizhongxin
17,2016,1,1,17,180,214,48,150,3700,9,1.2,1017,-6.9,0,E,1.1,Aotizhongxin
18,2016,1,1,18,198,238,51,152,3800,8,-1.2,1017.2,-6.7,0,E,1.2,Aotizhongxin
19,2016,1,1,19,219,270,44,156,4200,9,-1.2,1017.2,-6.2,0,E,1.2,Aotizhongxin
20,2016,1,1,20,231,274,38,158,4600,9,-2.4,1017.5,-6.1,0,E,0.7,Aotizhongxin
21,2016,1,1,21,258,313,42,161,5400,10,-2.5,1017.6,-5.5,0,E,0.9,Aotizhongxin
22,2016,1,1,22,263,318,43,164,5200,10,-3.1,1017.3,-5.6,0,NE,0.1,Aotizhongxin
23,2016,1,1,23,324,385,55,164,7500,14,-3.2,1017.4,-5.2,0,NE,1.4,Aotizhongxin
24,2016,1,2,0,351,391,87,153,7300,17,-4.4,1017.5,-5.9,0,ESE,0.7,Aotizhongxin
25,2016,1,2,1,327,355,92,144,7400,16,-3.6,1016.8,-5.5,0,ENE,1.1,Aotizhongxin
26,2016,1,2,2,282,292,53,131,6100,12,-4.2,1017,-5.6,0,NE,0.5,Aotizhongxin
27,2016,1,2,3,258,262,48,126,5500,12,-3.7,1016.7,-5.9,0,NW,0.6,Aotizhongxin
28,2016,1,2,4,271,278,36,122,6600,NA,-4.4,1016,-6.1,0,SSW,0.4,Aotizhongxin
29,2016,1,2,5,277,287,34,121,7100,15,-4.7,1015.7,-6.8,0,W,0.7,Aotizhongxin
30,2016,1,2,6,265,269,36,122,7000,14,-5.2,1015.7,-7,0,S,0.3,Aotizhongxin
31,2016,1,2,7,239,241,32,115,6600,11,-5.2,1015.8,-6.7,0,ENE,1.2,Aotizhongxin
32,2016,1,2,8,225,237,46,133,7500,11,-3.9,1016.1,-6.1,0,ENE,1,Aotizhongxin
33,2016,1,2,9,211,225,52,128,6000,11,-3,1016.5,-5.6,0,ENE,0.9,Aotizhongxin
34,2016,1,2,10,218,246,69,135,5800,12,0.1,1017.1,-5.7,0,SE,0.8,Aotizhongxin
35,2016,1,2,11,211,216,72,122,4700,14,2.1,1016.9,-5.1,0,ESE,1,Aotizhongxin
36,2016,1,2,12,188,188,57,109,3600,20,3.7,1016.1,-5.8,0,NE,1.2,Aotizhongxin
37,2016,1,2,13,202,202,47,117,3600,22,4.6,1015,-5.5,0,E,1.2,Aotizhongxin
38,2016,1,2,14,204,205,43,129,3600,21,6,1014.1,-5.7,0,ENE,1.5,Aotizhongxin
39,2016,1,2,15,201,201,42,135,3500,19,6.1,1014.2,-5.6,0,ENE,1.4,Aotizhongxin
40,2016,1,2,16,182,189,39,131,3000,18,5.6,1014.2,-5.4,0,ENE,1.1,Aotizhongxin
41,2016,1,2,17,170,185,36,136,3100,11,2.5,1014.7,-5.4,0,ENE,1.1,Aotizhongxin
42,2016,1,2,18,208,228,40,155,3700,10,0.1,1015.1,-4.9,0,ENE,1,Aotizhongxin
43,2016,1,2,19,250,266,38,168,4700,12,-0.7,1015.7,-4.4,0,ENE,0.5,Aotizhongxin
44,2016,1,2,20,359,411,46,191,5900,13,-1.7,1016.6,-4.4,0,ESE,0.6,Aotizhongxin
45,2016,1,2,21,440,492,50,206,7300,14,-2,1016.7,-4.5,0,ESE,0.6,Aotizhongxin
46,2016,1,2,22,519,561,50,216,7800,13,-2.8,1016.7,-4.5,0,E,0.7,Aotizhongxin
47,2016,1,2,23,489,513,44,208,7300,12,-3,1017.2,-4,0,ENE,1.3,Aotizhongxin
48,2016,1,3,0,498,527,44,206,7700,13,-3.2,1017,-4,0,ENE,0.5,Aotizhongxin
49,2016,1,3,1,541,582,44,198,8800,15,-3.3,1016.8,-4,0,ENE,1.2,Aotizhongxin
50,2016,1,3,2,532,565,36,181,8800,13,-3.2,1016.8,-3.6,0,NE,1,Aotizhongxin
51,2016,1,3,3,547,578,30,164,9600,14,-3.4,1017.3,-4.7,0,ENE,1.1,Aotizhongxin
52,2016,1,3,4,407,407,29,118,6500,9,-2.6,1017.3,-3.2,0,E,1.8,Aotizhongxin
53,2016,1,3,5,212,212,33,92,4300,6,-3.4,1017.9,-3.7,0,E,2.1,Aotizhongxin
54,2016,1,3,6,245,245,23,90,4800,8,-3,1018.3,-3.1,0,ENE,0.9,Aotizhongxin
55,2016,1,3,7,205,205,12,80,3600,6,-2.8,1018.9,-2.9,0,E,0.9,Aotizhongxin
56,2016,1,3,8,177,177,9,73,2700,6,-2.6,1019.1,-3.2,0,ESE,0.9,Aotizhongxin
57,2016,1,3,9,181,181,6,66,2500,8,-2.5,1019.9,-3.1,0,ENE,0.8,Aotizhongxin
58,2016,1,3,10,167,167,12,62,2300,14,-1.4,1020.1,-3.1,0,ENE,0.9,Aotizhongxin
59,2016,1,3,11,141,141,18,49,1800,26,-0.1,1020,-4.4,0,ENE,1.5,Aotizhongxin
60,2016,1,3,12,226,229,29,93,4600,21,1.7,1018.8,-5.7,0,S,1.3,Aotizhongxin
61,2016,1,3,13,270,270,34,103,4500,19,1.8,1017.7,-7,0,SW,2.3,Aotizhongxin
62,2016,1,3,14,249,249,38,100,3600,23,2.3,1017.5,-6.8,0,SSE,1.4,Aotizhongxin
63,2016,1,3,15,131,131,36,72,1800,39,2.2,1017.4,-6.4,0,SSE,1.6,Aotizhongxin
64,2016,1,3,16,125,125,26,78,1800,35,2.2,1017.8,-6.7,0,SSE,0.8,Aotizhongxin
65,2016,1,3,17,187,188,14,100,2700,11,0.8,1018.2,-5.2,0,S,0.9,Aotizhongxin
66,2016,1,3,18,206,206,12,104,3000,7,-0.1,1019.2,-3.7,0,S,0.8,Aotizhongxin
67,2016,1,3,19,211,211,10,102,2800,7,-1.3,1020.2,-3.7,0,WNW,0.6,Aotizhongxin
